run_id,context_id,archid,device,dataset,accuracy,latency,runtime_sec,evaluations
1,1,11438,edgegpu,cifar10,92.500000,1.846719,0.318150,10050
1,1,5780,edgegpu,cifar10,93.980000,3.361888,0.318150,10050
1,1,6499,edgegpu,cifar10,93.645000,3.331041,0.318150,10050
1,1,14527,edgegpu,cifar10,86.765000,1.439619,0.318150,10050
1,1,5292,edgegpu,cifar10,94.293335,6.663151,0.318150,10050
1,1,11692,edgegpu,cifar10,94.130000,4.708362,0.318150,10050
1,1,4803,edgegpu,cifar10,88.746666,1.748652,0.318150,10050
1,1,1339,edgegpu,cifar10,92.136665,1.751881,0.318150,10050
1,1,561,edgegpu,cifar10,86.880000,1.451068,0.318150,10050
1,1,2776,edgegpu,cifar10,93.666664,3.331194,0.318150,10050
1,1,258,edgegpu,cifar10,93.640000,3.307109,0.318150,10050
1,1,15200,edgegpu,cifar10,10.000000,0.501385,0.318150,10050
1,1,9099,edgegpu,cifar10,93.940000,3.357520,0.318150,10050
1,1,2053,edgegpu,cifar10,94.206665,5.482254,0.318150,10050
1,1,10484,edgegpu,cifar10,93.810000,3.354015,0.318150,10050
1,1,2090,edgegpu,cifar10,86.650000,1.437702,0.318150,10050
1,1,13401,edgegpu,cifar10,87.010000,1.457009,0.318150,10050
1,1,13714,edgegpu,cifar10,94.373340,6.772180,0.318150,10050
1,1,1459,edgegpu,cifar10,94.296670,6.748991,0.318150,10050
1,1,6330,edgegpu,cifar10,94.006670,4.384699,0.318150,10050
1,1,6960,edgegpu,cifar10,92.280000,1.764450,0.318150,10050
1,1,11810,edgegpu,cifar10,92.780000,1.992798,0.318150,10050
1,1,5400,edgegpu,cifar10,86.630000,1.427460,0.318150,10050
1,1,14407,edgegpu,cifar10,86.770000,1.440282,0.318150,10050
1,2,1051,edgetpu,cifar10,86.700000,0.359608,0.367409,10050
1,2,5780,edgetpu,cifar10,93.980000,0.723967,0.367409,10050
1,2,4675,edgetpu,cifar10,89.200000,0.395661,0.367409,10050
1,2,5111,edgetpu,cifar10,94.306660,1.152010,0.367409,10050
1,2,6382,edgetpu,cifar10,93.376660,0.628638,0.367409,10050
1,2,6407,edgetpu,cifar10,88.933334,0.389381,0.367409,10050
1,2,11692,edgetpu,cifar10,94.130000,0.761100,0.367409,10050
1,2,7676,edgetpu,cifar10,92.230000,0.481331,0.367409,10050
1,2,2053,edgetpu,cifar10,94.206665,1.042178,0.367409,10050
1,2,13714,edgetpu,cifar10,94.373340,1.377865,0.367409,10050
1,2,3731,edgetpu,cifar10,94.343330,1.282820,0.367409,10050
1,2,8192,edgetpu,cifar10,93.093330,0.627745,0.367409,10050
1,2,10787,edgetpu,cifar10,86.660000,0.353990,0.367409,10050
1,2,11810,edgetpu,cifar10,92.780000,0.482879,0.367409,10050
1,2,6918,edgetpu,cifar10,87.000000,0.375819,0.367409,10050
1,2,9950,edgetpu,cifar10,93.840000,0.723767,0.367409,10050
1,2,12607,edgetpu,cifar10,89.180000,0.391577,0.367409,10050
1,2,3022,edgetpu,cifar10,86.670000,0.355117,0.367409,10050
1,2,11112,edgetpu,cifar10,92.110000,0.480732,0.367409,10050
1,2,797,edgetpu,cifar10,93.280000,0.627996,0.367409,10050
1,2,10581,edgetpu,cifar10,89.015000,0.390403,0.367409,10050
1,2,4384,edgetpu,cifar10,86.796670,0.362569,0.367409,10050
1,2,13611,edgetpu,cifar10,92.490000,0.481826,0.367409,10050
1,2,11438,edgetpu,cifar10,92.500000,0.482393,0.367409,10050
1,2,6515,edgetpu,cifar10,93.616670,0.722858,0.367409,10050
1,2,5258,edgetpu,cifar10,88.775000,0.388629,0.367409,10050
1,2,12439,edgetpu,cifar10,86.393330,0.352159,0.367409,10050
