idx,accuracy,speed,rank,crowding_distance,architecture
13,0.861,4.054737743110671,1,0.6174705177179973,"{""normal_cell"": {""blocks"": [[0, 0, 1, 3], [0, 3, 2, 4], [3, 2, 0, 3], [2, 1, 3, 1], [2, 2, 2, 2]], ""extra_connections"": [0, 5, 6]}, ""reduction_cell"": {""blocks"": [[0, 5, 1, 5], [2, 3, 1, 0], [0, 2, 1, 3], [1, 2, 4, 2], [3, 4, 4, 2]], ""extra_connections"": [0, 1, 2, 3, 4, 5, 6]}}"
14,0.872,2.500719313155034,4,inf,"{""normal_cell"": {""blocks"": [[0, 0, 0, 2], [0, 5, 2, 5], [1, 1, 1, 5], [3, 2, 4, 4], [4, 2, 0, 1]], ""extra_connections"": [0, 2, 4]}, ""reduction_cell"": {""blocks"": [[1, 0, 0, 4], [1, 5, 0, 5], [3, 0, 0, 4], [2, 3, 3, 3], [2, 1, 0, 2]], ""extra_connections"": [0, 3, 4]}}"
15,0.87,3.2345486279170057,3,1.3950138392632658,"{""normal_cell"": {""blocks"": [[0, 1, 1, 0], [0, 0, 2, 3], [1, 4, 3, 3], [3, 2, 4, 3], [2, 4, 4, 0]], ""extra_connections"": [3]}, ""reduction_cell"": {""blocks"": [[0, 4, 0, 1], [0, 3, 1, 5], [3, 2, 0, 1], [2, 5, 2, 5], [3, 0, 5, 1]], ""extra_connections"": [0, 2, 6]}}"
16,0.937,2.3193596887115,1,0.29652095336627526,"{""normal_cell"": {""blocks"": [[0, 0, 0, 1], [1, 4, 2, 4], [2, 3, 0, 3], [2, 5, 3, 2], [4, 4, 3, 3]], ""extra_connections"": [2, 3, 4]}, ""reduction_cell"": {""blocks"": [[0, 5, 0, 5], [1, 4, 0, 1], [3, 4, 3, 2], [1, 4, 3, 5], [3, 0, 3, 2]], ""extra_connections"": [0, 1, 2, 5, 6]}}"
17,0.864,4.883125027154753,0,inf,"{""normal_cell"": {""blocks"": [[1, 2, 1, 4], [0, 3, 0, 2], [2, 2, 0, 3], [4, 0, 4, 3], [3, 0, 1, 4]], ""extra_connections"": [0, 1, 2, 5]}, ""reduction_cell"": {""blocks"": [[1, 3, 1, 0], [0, 5, 2, 1], [1, 2, 0, 4], [3, 0, 1, 0], [3, 0, 5, 1]], ""extra_connections"": [0, 1, 2, 3, 4, 5]}}"
18,0.9889999999999999,1.9498953506277008,0,inf,"{""normal_cell"": {""blocks"": [[1, 4, 0, 3], [0, 4, 2, 5], [1, 0, 2, 3], [2, 4, 2, 0], [2, 5, 2, 4]], ""extra_connections"": [0, 2, 3, 4, 5, 6]}, ""reduction_cell"": {""blocks"": [[1, 2, 0, 5], [0, 4, 1, 1], [3, 0, 2, 5], [3, 5, 3, 3], [5, 5, 1, 3]], ""extra_connections"": [2, 4, 6]}}"
19,0.8939999999999999,2.503476446308475,1,0.3865211036144428,"{""normal_cell"": {""blocks"": [[0, 5, 0, 3], [2, 1, 0, 3], [2, 2, 3, 5], [0, 2, 4, 3], [2, 5, 5, 3]], ""extra_connections"": [3, 6]}, ""reduction_cell"": {""blocks"": [[0, 5, 0, 3], [0, 5, 1, 0], [0, 2, 0, 2], [2, 2, 3, 1], [1, 4, 3, 4]], ""extra_connections"": [4, 6]}}"
20,0.952,2.144148381174512,1,inf,"{""normal_cell"": {""blocks"": [[0, 1, 1, 5], [1, 3, 1, 5], [0, 3, 2, 5], [4, 1, 0, 3], [2, 4, 2, 5]], ""extra_connections"": [0, 1, 2, 3, 5, 6]}, ""reduction_cell"": {""blocks"": [[0, 1, 1, 4], [1, 4, 1, 5], [2, 0, 3, 2], [0, 4, 0, 4], [5, 3, 2, 1]], ""extra_connections"": [0, 3]}}"
21,0.886,2.8962412450790507,1,0.3340602181272098,"{""normal_cell"": {""blocks"": [[1, 3, 0, 4], [1, 5, 0, 0], [2, 2, 3, 1], [1, 1, 4, 2], [4, 4, 2, 1]], ""extra_connections"": [0, 1, 2, 3, 5]}, ""reduction_cell"": {""blocks"": [[0, 1, 1, 4], [1, 0, 1, 0], [2, 4, 0, 3], [2, 5, 2, 4], [3, 5, 2, 0]], ""extra_connections"": [1, 3, 6]}}"
22,0.848,2.8999401490052468,4,inf,"{""normal_cell"": {""blocks"": [[1, 5, 1, 0], [0, 0, 0, 2], [3, 0, 0, 1], [4, 1, 3, 3], [2, 5, 5, 5]], ""extra_connections"": [0, 2, 4, 5, 6]}, ""reduction_cell"": {""blocks"": [[0, 5, 1, 1], [1, 3, 0, 2], [0, 5, 2, 4], [2, 0, 3, 2], [1, 0, 3, 0]], ""extra_connections"": [3]}}"
23,0.84,3.3714226209639717,2,0.47803773336282185,"{""normal_cell"": {""blocks"": [[0, 4, 0, 4], [0, 1, 1, 1], [0, 2, 1, 1], [4, 2, 1, 0], [5, 0, 1, 0]], ""extra_connections"": [0, 2, 5]}, ""reduction_cell"": {""blocks"": [[0, 5, 1, 4], [0, 5, 0, 3], [3, 2, 0, 3], [4, 1, 4, 0], [5, 5, 4, 2]], ""extra_connections"": [0, 3, 4, 5]}}"
