idx,accuracy,speed,rank,crowding_distance,architecture
172,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
173,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
174,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
175,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
176,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
177,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
178,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
179,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
180,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
181,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
182,72.42,32.2471576952118,0,inf,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
183,63.04,106.33674486422765,0,0.3546910482341902,"{""benchmark_genotype"": [0, 4, 2, 2, 0, 0], ""arch_id"": 13320, ""architecture_details"": ""|none~0|+|avg_pool_3x3~0|nor_conv_1x1~1|+|nor_conv_1x1~0|none~1|none~2|""}"
184,62.6,111.83111086707078,0,0.2704327246934236,"{""benchmark_genotype"": [3, 4, 3, 2, 0, 0], ""arch_id"": 7174, ""architecture_details"": ""|nor_conv_3x3~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_1x1~0|none~1|none~2|""}"
185,58.3,136.86257198030358,0,inf,"{""benchmark_genotype"": [1, 0, 1, 1, 0, 0], ""arch_id"": 7594, ""architecture_details"": ""|skip_connect~0|+|none~0|skip_connect~1|+|skip_connect~0|none~1|none~2|""}"
186,72.28,29.03181088097756,1,inf,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 3], ""arch_id"": 10165, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_3x3~2|""}"
187,72.28,29.03181088097756,1,inf,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 3], ""arch_id"": 10165, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_3x3~2|""}"
188,58.233334,136.26718397323495,1,inf,"{""benchmark_genotype"": [1, 3, 2, 1, 0, 0], ""arch_id"": 657, ""architecture_details"": ""|skip_connect~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|none~1|none~2|""}"
189,66.986664,74.78944061350079,1,1.2902151658218761,"{""benchmark_genotype"": [1, 3, 0, 1, 3, 0], ""arch_id"": 2805, ""architecture_details"": ""|skip_connect~0|+|nor_conv_3x3~0|none~1|+|skip_connect~0|nor_conv_3x3~1|none~2|""}"
190,61.92,100.20891052621954,1,1.1964579239345887,"{""benchmark_genotype"": [0, 4, 3, 2, 0, 0], ""arch_id"": 9067, ""architecture_details"": ""|none~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_1x1~0|none~1|none~2|""}"
191,71.04,31.476314702712504,1,0.8035420760654113,"{""benchmark_genotype"": [3, 4, 2, 1, 2, 3], ""arch_id"": 15485, ""architecture_details"": ""|nor_conv_3x3~0|+|avg_pool_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_3x3~2|""}"
