idx,accuracy,speed,rank,crowding_distance,architecture
53,54.72,46.39942761666092,2,1.1534080402530003,"{""benchmark_genotype"": [4, 0, 4, 0, 1, 3], ""arch_id"": 8928, ""architecture_details"": ""|avg_pool_3x3~0|+|none~0|avg_pool_3x3~1|+|none~0|skip_connect~1|nor_conv_3x3~2|""}"
54,59.01,43.153495169872436,2,0.18940346702182836,"{""benchmark_genotype"": [3, 4, 0, 1, 1, 1], ""arch_id"": 3657, ""architecture_details"": ""|nor_conv_3x3~0|+|avg_pool_3x3~0|none~1|+|skip_connect~0|skip_connect~1|skip_connect~2|""}"
55,66.9,42.93456921921983,2,0.35755529807218595,"{""benchmark_genotype"": [2, 3, 2, 3, 4, 0], ""arch_id"": 11087, ""architecture_details"": ""|nor_conv_1x1~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|nor_conv_3x3~0|avg_pool_3x3~1|none~2|""}"
56,68.793335,27.598045506417236,2,0.2850848574731291,"{""benchmark_genotype"": [4, 2, 2, 3, 3, 1], ""arch_id"": 1824, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|nor_conv_3x3~0|nor_conv_3x3~1|skip_connect~2|""}"
57,59.01,43.153495169872436,2,0.40872143549813905,"{""benchmark_genotype"": [3, 4, 0, 1, 1, 1], ""arch_id"": 3657, ""architecture_details"": ""|nor_conv_3x3~0|+|avg_pool_3x3~0|none~1|+|skip_connect~0|skip_connect~1|skip_connect~2|""}"
58,67.54,34.010609269455514,2,0.16028946956251644,"{""benchmark_genotype"": [3, 3, 4, 1, 1, 1], ""arch_id"": 6873, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|skip_connect~0|skip_connect~1|skip_connect~2|""}"
59,67.54,34.010609269455514,2,0.1320378379149567,"{""benchmark_genotype"": [3, 3, 4, 1, 1, 1], ""arch_id"": 6873, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|skip_connect~0|skip_connect~1|skip_connect~2|""}"
60,66.98,37.68663599853851,2,0.07892263550324342,"{""benchmark_genotype"": [3, 3, 1, 0, 0, 1], ""arch_id"": 8279, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|skip_connect~1|+|none~0|none~1|skip_connect~2|""}"
61,66.96,42.09812863293694,2,0.11488642610538816,"{""benchmark_genotype"": [3, 2, 0, 3, 4, 0], ""arch_id"": 13857, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|avg_pool_3x3~1|none~2|""}"
62,66.98,37.68663599853851,2,0.11779624431227248,"{""benchmark_genotype"": [3, 3, 1, 0, 0, 1], ""arch_id"": 8279, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|skip_connect~1|+|none~0|none~1|skip_connect~2|""}"
63,66.9,42.93456921921983,2,0.007232924386168952,"{""benchmark_genotype"": [2, 3, 2, 3, 4, 0], ""arch_id"": 11087, ""architecture_details"": ""|nor_conv_1x1~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|nor_conv_3x3~0|avg_pool_3x3~1|none~2|""}"
64,72.42,32.2471576952118,0,inf,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
65,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
66,61.84667,108.04576278282667,0,inf,"{""benchmark_genotype"": [1, 4, 3, 2, 0, 0], ""arch_id"": 15405, ""architecture_details"": ""|skip_connect~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_1x1~0|none~1|none~2|""}"
67,66.986664,74.78944061350079,0,1.0356819248615032,"{""benchmark_genotype"": [1, 3, 0, 1, 3, 0], ""arch_id"": 2805, ""architecture_details"": ""|skip_connect~0|+|nor_conv_3x3~0|none~1|+|skip_connect~0|nor_conv_3x3~1|none~2|""}"
68,61.92,100.20891052621954,0,0.9248740447903114,"{""benchmark_genotype"": [0, 4, 3, 2, 0, 0], ""arch_id"": 9067, ""architecture_details"": ""|none~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_1x1~0|none~1|none~2|""}"
69,69.36,58.83645612727267,0,0.5506627792768658,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 0], ""arch_id"": 3811, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|none~2|""}"
70,69.36,58.83645612727267,0,0.29065508184236016,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 0], ""arch_id"": 3811, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|none~2|""}"
71,67.246666,58.93102827366356,0,0.21379608424865823,"{""benchmark_genotype"": [1, 3, 2, 3, 3, 0], ""arch_id"": 13599, ""architecture_details"": ""|skip_connect~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|""}"
72,67.21333,59.65274822895464,0,0.0309590691837463,"{""benchmark_genotype"": [1, 2, 0, 3, 3, 0], ""arch_id"": 488, ""architecture_details"": ""|skip_connect~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|""}"
73,67.21333,59.65274822895464,0,0.0,"{""benchmark_genotype"": [1, 2, 0, 3, 3, 0], ""arch_id"": 488, ""architecture_details"": ""|skip_connect~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|""}"
74,72.42,32.2471576952118,0,inf,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
75,67.21333,59.65274822895464,0,0.0,"{""benchmark_genotype"": [1, 2, 0, 3, 3, 0], ""arch_id"": 488, ""architecture_details"": ""|skip_connect~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|""}"
76,67.21333,59.65274822895464,0,0.0,"{""benchmark_genotype"": [1, 2, 0, 3, 3, 0], ""arch_id"": 488, ""architecture_details"": ""|skip_connect~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|""}"
77,67.21333,59.65274822895464,0,0.20284902490671622,"{""benchmark_genotype"": [1, 2, 0, 3, 3, 0], ""arch_id"": 488, ""architecture_details"": ""|skip_connect~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|""}"
78,72.28,29.03181088097756,1,inf,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 3], ""arch_id"": 10165, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_3x3~2|""}"
79,72.28,29.03181088097756,1,inf,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 3], ""arch_id"": 10165, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_3x3~2|""}"
80,58.106667,77.91614819963053,1,inf,"{""benchmark_genotype"": [1, 4, 1, 0, 1, 0], ""arch_id"": 2286, ""architecture_details"": ""|skip_connect~0|+|avg_pool_3x3~0|skip_connect~1|+|none~0|skip_connect~1|none~2|""}"
81,58.106667,77.91614819963053,1,0.0,"{""benchmark_genotype"": [1, 4, 1, 0, 1, 0], ""arch_id"": 2286, ""architecture_details"": ""|skip_connect~0|+|avg_pool_3x3~0|skip_connect~1|+|none~0|skip_connect~1|none~2|""}"
82,69.15,45.90666770476945,1,1.1206289517495063,"{""benchmark_genotype"": [2, 2, 0, 3, 3, 0], ""arch_id"": 9375, ""architecture_details"": ""|nor_conv_1x1~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|""}"
83,62.133335,49.16774979122143,1,0.35081186250688884,"{""benchmark_genotype"": [3, 3, 4, 4, 4, 0], ""arch_id"": 1535, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|""}"
84,72.2,29.106837198968723,1,0.5660369223846963,"{""benchmark_genotype"": [3, 3, 2, 1, 3, 2], ""arch_id"": 13390, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_1x1~2|""}"
85,62.133335,49.16774979122143,1,0.0,"{""benchmark_genotype"": [3, 3, 4, 4, 4, 0], ""arch_id"": 1535, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|""}"
86,62.133335,49.16774979122143,1,1.0831512151084148,"{""benchmark_genotype"": [3, 3, 4, 4, 4, 0], ""arch_id"": 1535, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|""}"
87,58.106667,77.91614819963053,1,inf,"{""benchmark_genotype"": [1, 4, 1, 0, 1, 0], ""arch_id"": 2286, ""architecture_details"": ""|skip_connect~0|+|avg_pool_3x3~0|skip_connect~1|+|none~0|skip_connect~1|none~2|""}"
88,70.22,26.020724726623012,2,inf,"{""benchmark_genotype"": [3, 0, 3, 2, 2, 3], ""arch_id"": 6189, ""architecture_details"": ""|nor_conv_3x3~0|+|none~0|nor_conv_3x3~1|+|nor_conv_1x1~0|nor_conv_1x1~1|nor_conv_3x3~2|""}"
89,47.1,73.37086057195961,2,inf,"{""benchmark_genotype"": [0, 1, 3, 4, 1, 0], ""arch_id"": 3387, ""architecture_details"": ""|none~0|+|skip_connect~0|nor_conv_3x3~1|+|avg_pool_3x3~0|skip_connect~1|none~2|""}"
90,54.72,46.39942761666092,2,0.3784872828895719,"{""benchmark_genotype"": [4, 0, 4, 0, 1, 3], ""arch_id"": 8928, ""architecture_details"": ""|avg_pool_3x3~0|+|none~0|avg_pool_3x3~1|+|none~0|skip_connect~1|nor_conv_3x3~2|""}"
91,67.04,44.08388722900808,2,0.6673225052320254,"{""benchmark_genotype"": [3, 1, 1, 1, 1, 3], ""arch_id"": 14374, ""architecture_details"": ""|nor_conv_3x3~0|+|skip_connect~0|skip_connect~1|+|skip_connect~0|skip_connect~1|nor_conv_3x3~2|""}"
92,54.72,46.39942761666092,2,1.1024887743354985,"{""benchmark_genotype"": [4, 0, 4, 0, 1, 3], ""arch_id"": 8928, ""architecture_details"": ""|avg_pool_3x3~0|+|none~0|avg_pool_3x3~1|+|none~0|skip_connect~1|nor_conv_3x3~2|""}"
93,69.06,35.10350787072424,2,0.31439281510714756,"{""benchmark_genotype"": [3, 0, 4, 2, 0, 3], ""arch_id"": 9863, ""architecture_details"": ""|nor_conv_3x3~0|+|none~0|avg_pool_3x3~1|+|nor_conv_1x1~0|none~1|nor_conv_3x3~2|""}"
94,67.98,41.958311899629,2,0.2046311276677819,"{""benchmark_genotype"": [1, 0, 0, 3, 3, 3], ""arch_id"": 6573, ""architecture_details"": ""|skip_connect~0|+|none~0|none~1|+|nor_conv_3x3~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
95,68.62,37.63044122068636,2,0.1914812159210899,"{""benchmark_genotype"": [3, 1, 2, 1, 1, 2], ""arch_id"": 12404, ""architecture_details"": ""|nor_conv_3x3~0|+|skip_connect~0|nor_conv_1x1~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|""}"
96,72.42,32.2471576952118,0,inf,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
97,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
98,46.746666,111.73071378440251,0,inf,"{""benchmark_genotype"": [1, 4, 3, 4, 0, 0], ""arch_id"": 3283, ""architecture_details"": ""|skip_connect~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|avg_pool_3x3~0|none~1|none~2|""}"
99,61.88,111.07208161576557,0,0.7359736576050933,"{""benchmark_genotype"": [4, 4, 3, 2, 0, 0], ""arch_id"": 6974, ""architecture_details"": ""|avg_pool_3x3~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_1x1~0|none~1|none~2|""}"
100,61.92,100.20891052621954,0,0.6553891056076917,"{""benchmark_genotype"": [0, 4, 3, 2, 0, 0], ""arch_id"": 9067, ""architecture_details"": ""|none~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_1x1~0|none~1|none~2|""}"
101,70.09333,58.78895631818876,0,0.45371559564413655,"{""benchmark_genotype"": [3, 2, 2, 1, 3, 0], ""arch_id"": 8253, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|none~2|""}"
102,66.986664,74.78944061350079,0,0.34848530098639124,"{""benchmark_genotype"": [1, 3, 0, 1, 3, 0], ""arch_id"": 2805, ""architecture_details"": ""|skip_connect~0|+|nor_conv_3x3~0|none~1|+|skip_connect~0|nor_conv_3x3~1|none~2|""}"
103,66.986664,74.78944061350079,0,0.33590772731358837,"{""benchmark_genotype"": [1, 3, 0, 1, 3, 0], ""arch_id"": 2805, ""architecture_details"": ""|skip_connect~0|+|nor_conv_3x3~0|none~1|+|skip_connect~0|nor_conv_3x3~1|none~2|""}"
104,67.4,62.77676707182792,0,0.29315160892696146,"{""benchmark_genotype"": [0, 2, 0, 3, 4, 0], ""arch_id"": 12858, ""architecture_details"": ""|none~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|avg_pool_3x3~1|none~2|""}"
105,69.36,58.83645612727267,0,0.07694141030595748,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 0], ""arch_id"": 3811, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|none~2|""}"
106,69.36,58.83645612727267,0,0.0,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 0], ""arch_id"": 3811, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|none~2|""}"
107,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
108,72.42,32.2471576952118,0,inf,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
109,69.36,58.83645612727267,0,0.0,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 0], ""arch_id"": 3811, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|none~2|""}"
110,69.36,58.83645612727267,0,0.0,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 0], ""arch_id"": 3811, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|none~2|""}"
111,69.36,58.83645612727267,0,0.0,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 0], ""arch_id"": 3811, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|none~2|""}"
112,69.36,58.83645612727267,0,0.07813779239989299,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 0], ""arch_id"": 3811, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|none~2|""}"
113,72.28,29.03181088097756,1,inf,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 3], ""arch_id"": 10165, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_3x3~2|""}"
114,72.28,29.03181088097756,1,inf,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 3], ""arch_id"": 10165, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_3x3~2|""}"
115,61.84667,108.04576278282667,1,inf,"{""benchmark_genotype"": [1, 4, 3, 2, 0, 0], ""arch_id"": 15405, ""architecture_details"": ""|skip_connect~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_1x1~0|none~1|none~2|""}"
116,61.84667,108.04576278282667,1,inf,"{""benchmark_genotype"": [1, 4, 3, 2, 0, 0], ""arch_id"": 15405, ""architecture_details"": ""|skip_connect~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_1x1~0|none~1|none~2|""}"
117,67.21333,59.65274822895464,1,0.5235106046646248,"{""benchmark_genotype"": [1, 2, 0, 3, 3, 0], ""arch_id"": 488, ""architecture_details"": ""|skip_connect~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|""}"
118,67.21333,59.65274822895464,1,0.0,"{""benchmark_genotype"": [1, 2, 0, 3, 3, 0], ""arch_id"": 488, ""architecture_details"": ""|skip_connect~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|""}"
119,69.8,30.45616296751695,1,0.4715438808498647,"{""benchmark_genotype"": [0, 3, 2, 1, 2, 3], ""arch_id"": 12663, ""architecture_details"": ""|none~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_3x3~2|""}"
120,67.753334,57.68855460807232,1,0.34726444973214843,"{""benchmark_genotype"": [1, 2, 0, 3, 2, 0], ""arch_id"": 2275, ""architecture_details"": ""|skip_connect~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|nor_conv_1x1~1|none~2|""}"
121,69.15,45.90666770476945,1,0.32940726903290884,"{""benchmark_genotype"": [2, 2, 0, 3, 3, 0], ""arch_id"": 9375, ""architecture_details"": ""|nor_conv_1x1~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|""}"
122,71.88,29.323025468836324,1,0.241845511905485,"{""benchmark_genotype"": [2, 3, 2, 1, 2, 3], ""arch_id"": 11307, ""architecture_details"": ""|nor_conv_1x1~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_3x3~2|""}"
123,69.15,45.90666770476945,1,0.21141181426195138,"{""benchmark_genotype"": [2, 2, 0, 3, 3, 0], ""arch_id"": 9375, ""architecture_details"": ""|nor_conv_1x1~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|""}"
124,67.246666,58.93102827366356,1,0.07661640858631248,"{""benchmark_genotype"": [1, 3, 2, 3, 3, 0], ""arch_id"": 13599, ""architecture_details"": ""|skip_connect~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|""}"
125,72.16,29.2198034880556,1,0.03340701348605557,"{""benchmark_genotype"": [3, 2, 2, 1, 3, 2], ""arch_id"": 4208, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_1x1~2|""}"
126,72.2,29.106837198968723,1,0.013880834185201588,"{""benchmark_genotype"": [3, 3, 2, 1, 3, 2], ""arch_id"": 13390, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_1x1~2|""}"
127,67.21333,59.65274822895464,1,0.6156567846538995,"{""benchmark_genotype"": [1, 2, 0, 3, 3, 0], ""arch_id"": 488, ""architecture_details"": ""|skip_connect~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|""}"
128,72.42,32.2471576952118,0,inf,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
129,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
130,58.3,136.86257198030358,0,inf,"{""benchmark_genotype"": [1, 0, 1, 1, 0, 0], ""arch_id"": 7594, ""architecture_details"": ""|skip_connect~0|+|none~0|skip_connect~1|+|skip_connect~0|none~1|none~2|""}"
131,63.04,106.33674486422765,0,0.6647449437278083,"{""benchmark_genotype"": [0, 4, 2, 2, 0, 0], ""arch_id"": 13320, ""architecture_details"": ""|none~0|+|avg_pool_3x3~0|nor_conv_1x1~1|+|nor_conv_1x1~0|none~1|none~2|""}"
132,70.73333,59.43045065338135,0,0.6473511450087182,"{""benchmark_genotype"": [3, 2, 0, 1, 3, 0], ""arch_id"": 2776, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_1x1~0|none~1|+|skip_connect~0|nor_conv_3x3~1|none~2|""}"
133,62.6,111.83111086707078,0,0.6274849627293142,"{""benchmark_genotype"": [3, 4, 3, 2, 0, 0], ""arch_id"": 7174, ""architecture_details"": ""|nor_conv_3x3~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_1x1~0|none~1|none~2|""}"
134,67.4,62.77676707182792,0,0.412158450545024,"{""benchmark_genotype"": [0, 2, 0, 3, 4, 0], ""arch_id"": 12858, ""architecture_details"": ""|none~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|avg_pool_3x3~1|none~2|""}"
135,66.986664,74.78944061350079,0,0.3943357758051773,"{""benchmark_genotype"": [1, 3, 0, 1, 3, 0], ""arch_id"": 2805, ""architecture_details"": ""|skip_connect~0|+|nor_conv_3x3~0|none~1|+|skip_connect~0|nor_conv_3x3~1|none~2|""}"
136,66.986664,74.78944061350079,0,0.0,"{""benchmark_genotype"": [1, 3, 0, 1, 3, 0], ""arch_id"": 2805, ""architecture_details"": ""|skip_connect~0|+|nor_conv_3x3~0|none~1|+|skip_connect~0|nor_conv_3x3~1|none~2|""}"
137,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
138,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
139,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
140,72.42,32.2471576952118,0,0.0,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
141,72.42,32.2471576952118,0,inf,"{""benchmark_genotype"": [4, 3, 2, 1, 3, 3], ""arch_id"": 10476, ""architecture_details"": ""|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|""}"
142,66.986664,74.78944061350079,0,0.0,"{""benchmark_genotype"": [1, 3, 0, 1, 3, 0], ""arch_id"": 2805, ""architecture_details"": ""|skip_connect~0|+|nor_conv_3x3~0|none~1|+|skip_connect~0|nor_conv_3x3~1|none~2|""}"
143,66.986664,74.78944061350079,0,0.33082811645679044,"{""benchmark_genotype"": [1, 3, 0, 1, 3, 0], ""arch_id"": 2805, ""architecture_details"": ""|skip_connect~0|+|nor_conv_3x3~0|none~1|+|skip_connect~0|nor_conv_3x3~1|none~2|""}"
144,72.28,29.03181088097756,1,inf,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 3], ""arch_id"": 10165, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_3x3~2|""}"
145,72.28,29.03181088097756,1,inf,"{""benchmark_genotype"": [3, 3, 2, 1, 2, 3], ""arch_id"": 10165, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_3x3~2|""}"
146,46.55,113.42394507649622,1,inf,"{""benchmark_genotype"": [4, 4, 3, 4, 0, 0], ""arch_id"": 10602, ""architecture_details"": ""|avg_pool_3x3~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|avg_pool_3x3~0|none~1|none~2|""}"
147,61.88,111.07208161576557,1,0.7262406998761431,"{""benchmark_genotype"": [4, 4, 3, 2, 0, 0], ""arch_id"": 6974, ""architecture_details"": ""|avg_pool_3x3~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_1x1~0|none~1|none~2|""}"
148,63.78,63.95374455889535,1,0.6862940381171911,"{""benchmark_genotype"": [3, 2, 2, 0, 3, 0], ""arch_id"": 11247, ""architecture_details"": ""|nor_conv_3x3~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|none~0|nor_conv_3x3~1|none~2|""}"
149,46.746666,111.73071378440251,1,0.6236708431459902,"{""benchmark_genotype"": [1, 4, 3, 4, 0, 0], ""arch_id"": 3283, ""architecture_details"": ""|skip_connect~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|avg_pool_3x3~0|none~1|none~2|""}"
