context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
1,edgegpu,cifar10,93.963,0.051,2.65176348,0.8805809361,0.1909651044,0.2851656628,0.06041728371,0.0376379938,0,0,1.26331125,0.02361335821
2,edgegpu,cifar100,71.4819996,0.5423568254,3.32068294,0.02838691566,0.2477714422,0.1071997926,0.102551658,0.04608139662,0,0,1.25868582,0.02568009839
3,edgegpu,ImageNet16-120,46.1866666,0.8650238394,4.12561981,0.6729260724,0.385853688,0.1109090543,0.7544053029,0.3776647076,0,0,1.29040597,0.03525996523
