budget,population,hv_median,igd_plus_median,spacing_median,runtime_median,best_accuracy_mean,best_latency_mean
1000,50,0.9881419488000001,0.111996720085,3.2453891665,0.05376785,73.44050200000001,0.35705234775
2000,50,0.9934775888,0.06743300333999999,3.0530521719999997,0.11495482500000001,73.4943358,0.35683341425000004
5000,50,0.99743991955,0.025828050669999998,2.847580479,0.30655390000000005,73.513336,0.356725626
7000,50,0.9978651607,0.016221528995,2.8126173045,0.4265175,73.513336,0.356645575
10000,50,0.9988550135,0.011038675081499999,2.78588095,0.628927075,73.513336,0.3566945155
15000,50,0.9992339565,0.0068973152465,2.7633920705,0.9779336750000001,73.513336,0.35663794699999996
