budget,pop_size,best_accuracy_mean,best_latency_mean,hv_mean,igd_plus_mean,spacing_mean,c_metric_mean,runtime_sec_mean,evaluations_mean
1000,50,71.58503956,0.5023276927,0.9866973341,0.1158474033,5.83864387,0,0.05430792444,1430.088889
2000,50,71.64978362,0.5015069114,0.9919120575,0.06929034603,5.585222121,0,0.1172184208,3060.147222
5000,50,71.70584849,0.5002968689,0.9964448593,0.03216372415,5.358275387,0,0.3093925394,7987.402778
7000,50,71.7174102,0.4997148874,0.9973928091,0.02344143322,5.283668208,0,0.4338773428,11280.91667
10000,50,71.72447807,0.4996273431,0.9983305209,0.01697912173,5.249857209,0,0.6202917403,16219.54444
15000,50,71.73154596,0.4995734099,0.9989700608,0.01045254448,5.168155194,0,0.9618237639,24469.17222
