method,context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
dvolver,7,edgegpu,cifar100,72.73733345,0.7721191231,0.5830426155,0.1992420327,0.8022441474,0.0128321818,0.3886761159,0.2394099225,0,0,0.2211144,0.04170982898
dvolver,8,edgetpu,cifar100,72.4341662,0.6348364882,0.3730080965,0.0383585015,0.7432413709,0.02678140577,0.2341582411,0.1294875534,0,0,0.19032753,0.04297025367
dvolver,9,eyeriss,cifar100,72.3698332,0.8389713573,1.719424,0.08775387253,0.896244134,0.01406154498,0.6086878233,0.2537080617,0,0,0.185322645,0.03139571874
dvolver,10,fpga,cifar100,71.9728331,0.8922716634,1.15872,0.1122852368,0.9290390331,0.01888559488,0.6177788587,0.3278699032,0,0,0.188709055,0.03105391181
dvolver,11,pixel3,cifar100,72.6693324,0.4478162179,0.3027985185,0.5875613287,0.9194975227,0.007469325445,0.7511593845,0.305302943,0,0,0.20457236,0.04081272046
dvolver,12,raspi4,cifar100,72.4363337,0.7765063451,0.272390825,1.107098804,0.9107161984,0.01162340045,0.7780402558,0.3774047941,0,0,0.209960845,0.03265543066
dvolver,13,edgegpu,ImageNet16-120,46.35833295,0.5181861843,0.5887408235,0.1951703648,0.7937345686,0.01048859625,0.3862745048,0.1869294863,0,0,0.210638865,0.03687982686
dvolver,14,edgetpu,ImageNet16-120,46.38472235,0.3018962479,0.373349102,0.03508054926,0.8225678857,0.02635023332,0.09543667616,0.04019166242,0,0,0.195465775,0.04023484476
dvolver,15,eyeriss,ImageNet16-120,46.2641669,0.5794855979,0.444544,0.02930501227,0.8916225437,0.01058335216,0.3214062433,0.1228270989,0,0,0.201506765,0.04229976402
dvolver,16,fpga,ImageNet16-120,46.2555554,0.5574605227,0.29456,0.03072,0.7687371919,0.01567260461,0.2699842945,0.09770467739,0,0,0.21273161,0.03891377929
dvolver,17,pixel3,ImageNet16-120,46.06611125,0.6603163386,0.080276602,0.1800238116,0.8588459782,0.009785296492,0.443896291,0.1480335114,0,0,0.19449979,0.04010724028
dvolver,18,raspi4,ImageNet16-120,46.26861095,0.538491506,0.1546418215,0.3400873653,0.8573975387,0.008371831654,0.4222229624,0.1465153362,0,0,0.193406785,0.03447985131
